"id","affiliate_url","product_category","price","estimated_revenue","rating","email","individual","email_sent","article_markdown","title","cleaned_product_name","added_to_website","image","created_at","updated_at"
"1","https://www.amazon.com/dp/pWvP0IB1M6?tag=affiliate-20","fitness equipment","292.44","15249.94","2.8","esperanza.shanahan@stiedemann.org","Kasey",True,"Nihil consequuntur sed deserunt reiciendis debitis illum sit. Numquam rerum ratione voluptatem in consequatur. Id consequatur rem ut ut. Qui id voluptas consequatur et eos necessitatibus illum. Soluta excepturi quae quae accusamus ab.

Adipisci cum quibusdam placeat ut. Aut eos nulla rerum repellendus corrupti itaque. Autem reiciendis vel tempore aut fugit vero sint.

Totam eum itaque facilis ducimus aut velit officiis aliquam. Aut expedita et vitae. Alias nihil autem sed sunt rerum. Dolores consequatur aut aut aperiam rerum. Sit sint corporis perferendis praesentium.

Eum ut ut ratione rerum. Vitae quibusdam assumenda ab maiores voluptatem accusantium perferendis beatae. Eum libero nulla quibusdam ut ut cum qui architecto.

Fugit voluptates deserunt velit natus aut. Facere dolor odit non non illum. Aliquid laborum dolorem incidunt maxime ipsum eligendi.","Modern Wall Art Canvas-rem et ut ad quae","Modern Wall Art Canvas",False,"https://picsum.photos/id854/800/600","2025-02-27 03:30:06","2025-02-27 03:30:06"
"2","https://www.amazon.com/dp/X0XWOPU0eM?tag=affiliate-20","kitchen gadgets","213.85","301.03","4.7","mmante@hotmail.com","Hillard",False,"Molestias eaque est itaque ut a atque in. Mollitia veritatis sunt architecto rerum laborum. Nihil aliquam qui aut inventore in.

Atque illo itaque debitis molestiae et veniam. Et voluptatem molestiae numquam est veritatis odit magnam. Et totam aperiam deleniti.

Dicta hic sit veniam cupiditate. Autem quasi fuga beatae eligendi. Laborum voluptatum autem ad sed accusamus expedita ipsa.

Et eveniet minima qui aut iusto placeat commodi. Qui voluptatum in at et libero voluptatibus esse tempore. Omnis nemo fugiat quia excepturi quidem illo magnam.

Inventore deserunt quo debitis atque non ipsum sit nam. Autem occaecati dolor sint et natus. Vel quia aut iste doloremque dicta. Expedita a qui quas unde.","Wireless Bluetooth Headphones-qui esse sapiente officiis repellendus","Wireless Bluetooth Headphones",True,"https://picsum.photos/id551/800/600","2025-02-27 03:30:06","2025-02-27 03:30:06"
"3","https://www.amazon.com/dp/7upWZ95wrA?tag=affiliate-20","kitchen gadgets","314.53","6168.01","4.8","meredith26@hotmail.com","Lavinia",False,"Est earum itaque sit rerum. Rerum omnis libero laudantium dolorum.

Distinctio sed quas fugiat odit quisquam quo ad. Qui repellat veniam eveniet veniam magni veritatis aut. Ipsam quis veritatis quod eligendi dolore nobis.

Ipsam laborum beatae doloribus hic vitae consequatur voluptatum placeat. Dolor ipsam et quam aut. Veniam provident aliquam dolore omnis. Perspiciatis nulla ullam dolores aperiam accusantium minima.

At harum magnam molestiae recusandae id quis perferendis. Saepe saepe esse quia quam nesciunt minus. Sunt totam id et voluptas iste commodi et.

Et dolore eum quidem voluptatem iusto. Et amet modi sunt eius et eum. Atque ullam odio omnis reprehenderit est ea assumenda. Officiis soluta veniam atque.","Ergonomic Office Chair-est tempore cumque error corporis","Ergonomic Office Chair",True,"https://picsum.photos/id696/800/600","2025-02-27 03:30:06","2025-02-27 03:30:06"
"4","https://www.amazon.com/dp/7sUG5fM0Ch?tag=affiliate-20","fitness equipment","482.75","9196.18","4.8","simeon79@beier.org","Blanca",True,"Inventore ut dolor consequatur facilis. Cupiditate consectetur non autem recusandae. Quam dolores ut cupiditate. Nesciunt nobis quis veritatis quis placeat quo unde.

Modi quia quia nam et sit qui. Molestiae nobis rerum commodi rerum debitis perferendis accusantium. Nostrum aut quos alias repellendus.

Non corporis velit natus et. Consequatur eligendi illum amet quibusdam quos. Nesciunt aut aut unde porro iste minima nostrum. Quaerat rerum et rem omnis facilis ea ipsa.

Qui molestiae quibusdam dignissimos saepe enim modi et. Dolores laudantium adipisci quidem ut. Omnis deserunt et dicta accusantium. Sit illo rerum dolores non.

Eligendi minima et atque iste. Suscipit ut ut quia tempora minus voluptas omnis. Tenetur placeat repellendus quos qui. Optio quibusdam nostrum et.","Adjustable Dumbbell Set-sequi fugiat rerum nihil officiis","Adjustable Dumbbell Set",True,"https://picsum.photos/id263/800/600","2025-02-27 03:30:06","2025-02-27 03:30:06"
"5","https://www.amazon.com/dp/vA8DNt63gZ?tag=affiliate-20","kitchen gadgets","343.67","13891.59","1.8","elian49@walter.net","Erin",False,"Velit dolorem consequatur dignissimos in quos tenetur et. Laudantium et debitis consequatur atque velit itaque vitae corrupti. Maxime velit sunt sit deleniti totam et. Totam ipsam eos voluptas.

Quia qui fugiat qui deserunt temporibus quisquam. Qui nulla quisquam omnis error optio. Ducimus sit quia explicabo aliquid ullam harum aliquid ab. Perferendis alias saepe molestiae cum minima sed.

Tempora rerum tenetur error ex id quo. Fugit non quae et vel qui modi aut.

Sit saepe dolores possimus et. Illum voluptatum reprehenderit repellat accusamus est error culpa. Labore expedita ad et laboriosam sapiente aspernatur odio sit.

Nulla ex a esse. Aliquid animi eveniet vero tenetur iste. Provident et et sed qui vero. Aut ratione consequatur minima et repellat.","Modern Wall Art Canvas-ipsam vel at omnis maxime","Modern Wall Art Canvas",False,"https://picsum.photos/id718/800/600","2025-02-27 03:30:06","2025-02-27 03:30:06"
"6","https://www.amazon.com/dp/OTe1FlpZQD?tag=affiliate-20","kitchen gadgets","482.02","2227.84","4.4","pwaters@towne.org","Geraldine",False,"Nobis ea ea ut quia. Impedit illo nulla hic esse ut modi quisquam. Dolor corrupti sit voluptates sit laborum. Perspiciatis voluptatem ipsa ab aut dolorem dolor.

Expedita in doloribus repellendus. Facere non voluptatem atque veritatis mollitia modi. Dolore eveniet vero provident. Numquam sapiente sunt possimus odio.

Numquam natus unde id enim consequatur nihil expedita. Quod et ea sit. Officia commodi sapiente necessitatibus velit ea molestiae. Iste minus voluptas enim qui.

Autem et dolor ex sed qui nesciunt. Libero ratione rem numquam rerum aspernatur tempora. Ut qui aut et sed. Qui aliquid et culpa vel.

Quasi qui reprehenderit rerum in ad explicabo. Eos eos aut ut non eligendi voluptatibus odio voluptas. Harum a itaque non similique corporis.","Premium Kitchen Knife Set-sequi possimus corrupti est quis","Premium Kitchen Knife Set",False,"https://picsum.photos/id648/800/600","2025-02-27 03:30:06","2025-02-27 03:30:06"
"7","https://www.amazon.com/dp/y6ZhMeYQu5?tag=affiliate-20","electronics","269.37","16317.23","2.2","kaylah.barrows@gmail.com","Twila",False,"Tempora eveniet et doloribus corrupti repellendus qui. Molestias quia dolorum dolores recusandae exercitationem velit. Aut quia molestiae aut cupiditate eos atque dolorem. Corporis est nesciunt labore ut omnis adipisci.

Numquam eos enim optio eos numquam. Id quos laboriosam dolores provident. Unde quasi mollitia id a ipsam maxime. Incidunt necessitatibus ut rem molestiae quia.

Optio dolore deleniti vitae totam non adipisci. Iusto voluptates dolorem expedita velit minus tempora optio sint. Ullam distinctio quo exercitationem quia alias. Quia nulla animi id sit exercitationem necessitatibus est.

Consequatur quia nemo ex. Quas nihil eum maiores ut adipisci assumenda. Ipsa omnis tempora dolor facere consequuntur quibusdam nesciunt. Optio est magnam deserunt optio velit dolore earum.

Illum optio corrupti nesciunt asperiores. Culpa a delectus excepturi impedit totam. Aliquam quisquam quis ullam porro odit nobis. Accusamus minima quae quaerat alias eius quo.","Wireless Bluetooth Headphones-nihil et aut sit temporibus","Wireless Bluetooth Headphones",False,"https://picsum.photos/id934/800/600","2025-02-27 03:30:06","2025-02-27 03:30:06"
"8","https://www.amazon.com/dp/QUrzA28Zz2?tag=affiliate-20","office supplies","163.18","17147.74","3.6","rhackett@hotmail.com","Greta",False,"Est maiores reprehenderit dolores. Aspernatur hic et assumenda dolores ut consequatur nam. Reprehenderit beatae minima sapiente qui voluptatum modi.

Laborum inventore omnis iusto nam necessitatibus. Enim quia voluptatem ut ut est aut quis. Optio corrupti a repellat et dolorem commodi. In ipsam quae nobis ab facere et.

Recusandae tenetur est quidem quaerat recusandae quia temporibus. Eligendi error sapiente harum vel nesciunt. Expedita rerum molestiae sequi. Et sunt minus consequatur quo tempore.

Aut aut nam sequi consequatur modi. Atque voluptas sed molestias aliquid atque ut est. Laborum enim ut et.

Aut est magnam quis eum fugiat et. Saepe sint earum nulla minus sed blanditiis. Nobis officia sequi consectetur distinctio nam est aut. Non error nostrum et qui rerum ad quia expedita. Eos et sint officia reiciendis.","Wireless Bluetooth Headphones-velit ex quia repudiandae ullam","Wireless Bluetooth Headphones",True,"https://picsum.photos/id336/800/600","2025-02-27 03:30:06","2025-02-27 03:30:06"
"9","https://www.amazon.com/dp/6dn2pPGp1D?tag=affiliate-20","home decor","181.75","4858.44","1.6","bria12@cummings.com","Sandra",False,"Est exercitationem eius eum porro consequatur aliquid. Earum veritatis vitae iste vel saepe voluptatum. Dolore quas non assumenda illo eum necessitatibus. Delectus ut et velit asperiores expedita.

Non autem deleniti sunt veniam ipsam adipisci tenetur. Magni consequatur nam vero ut deleniti. Quae similique occaecati eveniet iusto sunt quo eum. Ipsam aut ipsum impedit beatae velit consectetur.

Natus ducimus aut et aut quam architecto velit. Vel et fugit nam accusantium sint qui expedita. Modi temporibus consequatur inventore perspiciatis aut vitae quos. Quod eius nihil et ut. Odit sunt dignissimos vitae dolorem.

Distinctio totam quaerat et. Soluta et molestias vel incidunt. Non similique fuga quia delectus.

A quasi voluptatem ex iusto et voluptatem sunt. Velit nesciunt autem in. Esse ullam porro doloribus occaecati eos.","Wireless Bluetooth Headphones-et voluptatem aut accusantium eaque","Wireless Bluetooth Headphones",True,"https://picsum.photos/id513/800/600","2025-02-27 03:30:06","2025-02-27 03:30:06"
"10","https://www.amazon.com/dp/WAGFRnHG2d?tag=affiliate-20","office supplies","23.63","1438.57","4.7","rbailey@grady.info","Enos",False,"Molestias impedit rerum ducimus deleniti. Culpa voluptatum atque aut cum sunt nesciunt id beatae. Voluptatem nulla placeat molestiae nulla delectus.

Et ipsam et quasi placeat eos. Reprehenderit repellendus veniam omnis quisquam. Non hic cumque porro minima quod aspernatur.

Illo nemo rem possimus nihil voluptas rerum. Ullam nesciunt magni nulla atque reprehenderit sint voluptatem. Quasi odit aliquid dolor voluptate qui et quo. Asperiores omnis eum repellat nostrum adipisci.

Quos ex dolores accusantium exercitationem. Suscipit alias vel molestias esse. Enim cumque fugiat nulla vel voluptates et. Aliquam iusto necessitatibus qui ut quas voluptas similique qui.

Voluptatem enim quae aut beatae sit. Sint quo dolores corrupti aspernatur. Doloribus sint nostrum consectetur quos saepe voluptas rerum.","Premium Kitchen Knife Set-enim fugiat ut dolores incidunt","Premium Kitchen Knife Set",True,"https://picsum.photos/id686/800/600","2025-02-27 03:30:06","2025-02-27 03:30:06"
